Table,Field,Go Type,GORM Tags,Relations
users,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('users_seq'::regclass),
users,title_id,*int64,index:idx_users_title_id,HasOne Title
users,code,*string,size:50;unique;index:idx_users_code,
users,name,string,size:255;not null;index:idx_users_name,
users,email,string,size:255;not null;unique;index:idx_users_email,
users,email_verified_at,*time.Time,,
users,password,string,not null,
users,remember_token,*string,size:100,
users,custom_fields,datatypes.JSON,type:jsonb,
users,avatar_url,*string,size:255,
users,is_password_default,bool,default:true,
users,created_at,time.Time,autoCreateTime,
users,updated_at,time.Time,autoUpdateTime,
users,deleted_at,gorm.DeletedAt,index:idx_users_deleted_at,
users,HasRoles,[]Role,many2many:user_has_roles,
users,HasDivisions,[]Division,many2many:user_has_divisions,
roles,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('roles_seq'::regclass),
roles,name,string,size:100;not null;unique:idx_roles_name,
roles,created_at,time.Time,autoCreateTime;index:idx_roles_created_at,
roles,updated_at,time.Time,autoUpdateTime,
roles,HasPermissions,[]Permission,many2many:role_has_permissions,
roles,HasUsers,[]*User,many2many:user_has_roles,
permissions,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('permissions_seq'::regclass),
permissions,name,string,size:255;not null;unique:idx_permissions_name,
permissions,created_at,time.Time,autoCreateTime;index:idx_permissions_created_at,
permissions,updated_at,time.Time,autoUpdateTime,
permissions,HasRole,[]Role,many2many:role_has_permissions,
divisions,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('divisions_seq'::regclass),
divisions,name,string,size:255;not null,
divisions,code,string,size:50;unique:uni_divisions_code;index:idx_divisions_code,
divisions,created_at,time.Time,autoCreateTime;index:idx_divisions_created_at,
divisions,updated_at,time.Time,autoUpdateTime,
divisions,DeletedAt,gorm.DeletedAt,index:idx_divisions_deleted_at,
divisions,Sops,[]Sop,many2many:sop_divisions,
titles,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('titles_seq'::regclass),
titles,code,string,size:255;unique:uni_title_code,
titles,color,string,size:20,
titles,name,string,type:varchar(255);not null;index:idx_titles_name,
titles,created_at,time.Time,autoCreateTime,
titles,updated_at,time.Time,autoUpdateTime,
titles,deleted_at,gorm.DeletedAt,index:idx_titles_deleted_at,
titles,HasSpks,[]Spk,many2many:spk_titles,
sops,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('sops_seq'::regclass),
sops,name,string,size:255;not null,
sops,code,string,size:255;index:idx_sops_code,
sops,description,*string,type:text;default:null,
sops,created_at,time.Time,autoCreateTime;index:idx_sops_created_at,
sops,updated_at,time.Time,autoUpdateTime,
sops,deleted_at,gorm.DeletedAt,index:idx_sop_deleted_at,
sops,parent_job_id,*int64,index:idx_sops_parent_job_id,
sops,HasJobs,[]SopJob,foreignKey:SopID,
sops,HasDivisions,[]Division,many2many:sop_divisions,
sop_jobs,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('sop_jobs_seq'::regclass),
sop_jobs,name,string,size:255;not null;index:idx_sop_jobs_name,
sop_jobs,alias,string,size:255;index:idx_sop_jobs_alias,
sop_jobs,type,*string,type:text;check:type IN ('sop','spk','instruction');index:idx_sop_jobs_type,
sop_jobs,code,string,size:255,
sop_jobs,description,*string,type:text,
sop_jobs,title_id,*int64,index:idx_sop_jobs_title_id,
sop_jobs,sop_id,int64,not null;index:idx_sop_jobs_sop_id,
sop_jobs,reference_id,*int64,default:null,
sop_jobs,index,int,default:0;index:idx_sop_jobs_sopid_index,priority:2,
sop_jobs,is_published,*bool,default:false;index:idx_sop_jobs_is_published,
sop_jobs,is_hide,*bool,default:false;index:idx_sop_jobs_is_hide,
sop_jobs,flowchart_id,*int64,default:1;index:idx_sop_jobs_flowchart_id,
sop_jobs,next_index,*int,default:null,
sop_jobs,prev_index,*int,default:null,
sop_jobs,created_at,time.Time,autoCreateTime;index:idx_sop_jobs_created_at,
sop_jobs,updated_at,time.Time,autoUpdateTime,
sop_jobs,HasSop,*Sop,foreignKey:SopID,
sop_jobs,HasTitle,*Title,foreignKey:TitleID,
sop_jobs,HasFlowchart,*Flowchart,foreignKey:FlowchartID,
spks,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('spks_seq'::regclass),
spks,name,string,size:255;index:idx_spks_name,
spks,code,string,size:255;unique:idx_spks_code,
spks,description,*string,type:text,
spks,created_at,time.Time,autoCreateTime;index:idx_spks_created_at,
spks,updated_at,time.Time,autoUpdateTime,
spks,deleted_at,gorm.DeletedAt,index:idx_spks_deleted_at,
spks,HasTitles,[]Title,many2many:spk_titles,
spks,HasJobs,[]SpkJob,foreignKey:SpkID,
spk_jobs,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('spk_jobs_seq'::regclass),
spk_jobs,name,string,size:255;not null,
spk_jobs,description,*string,type:text,
spk_jobs,spk_id,int64,not null;index:idx_spk_jobs_spk_id,
spk_jobs,sop_id,*int64,index:idx_spk_jobs_sop_id,
spk_jobs,title_id,*int64,index:idx_spk_jobs_title_id,
spk_jobs,index,int,default:0,
spk_jobs,flowchart_id,*int64,default:1;index:idx_spk_jobs_flowchart_id,
spk_jobs,next_index,*int,default:null,
spk_jobs,prev_index,*int,default:null,
spk_jobs,created_at,time.Time,autoCreateTime;index:idx_spk_jobs_created_at,
spk_jobs,updated_at,time.Time,autoUpdateTime,
spk_jobs,HasSop,*Sop,foreignKey:SopID,
spk_jobs,HasTitle,*Title,foreignKey:TitleID,
spk_jobs,HasFlowchart,*Flowchart,foreignKey:FlowchartID,
spk_jobs,HasSpk,*Spk,foreignKey:SpkID,
flowcharts,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('flowcharts_seq'::regclass),
flowcharts,type,string,type:text;not null;index:idx_sop_job_type,
flowcharts,SopJobs,[]*SopJob,foreignKey:FlowchartID,
flowcharts,HasSpkJob,[]*SpkJob,foreignKey:FlowchartID,
sop_menus,id,int64,primaryKey;autoIncrement:false;type:bigint;default:nextval('sop_menus_seq'::regclass),
sop_menus,name,string,size:255;not null;index:idx_sop_menus_name,
sop_menus,sop_id,*int64,index:idx_sop_menus_sop_id,
sop_menus,type,string,size:50;index:idx_sop_menus_type,
sop_menus,multiple,bool,index:idx_sop_menus_multiple,
sop_menus,division_id,*int64,index:idx_sop_menus_division_id,
sop_menus,parent_id,*int64,index:idx_sop_menus_parent_id,
sop_menus,master_id,*int64,index:idx_sop_menus_master_id,
sop_menus,is_master,bool,index:idx_sop_menus_is_master;default:false,
sop_menus,created_at,time.Time,autoCreateTime;index:idx_sop_menus_created_at,
sop_menus,updated_at,time.Time,autoUpdateTime,
sop_menus,HasSop,*Sop,foreignKey:SopID,
sop_menus,HasDivision,*Division,foreignKey:DivisionID,
sop_menus,HasDocuments,[]SopMenu,foreignKey:ParentID,
